Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,6.058453701095521,0,0
2006,9.605987091329972,0,0
2007,13.691747590326758,0,0
2008,26.804240704473855,0,0
2009,35.54315826334038,0,0
2010,45.54573668846108,0,0
2011,61.31867022474163,0,0
2012,71.98979286685719,0,0
2013,79.11629495533906,0,0
2014,91.99084872564117,0,0
2015,100.51621172110077,0,0
2016,46.336493013702444,0,0
2017,3.5071683603419253,0,0
2018,65.73571132097584,0,0
2019,19.683555800514355,0,0
2020,76.48039911213547,0,0
2021,158.45459288860627,0,0
2022,115.98638020177671,0,0
2023,291.15557130848856,0,0
2024,298.73241021938145,0,0
