Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.3452380952380951,-0.4190476190476191,0.19823788546255505,0.04061371841155226,-0.10822998872604273,0.3587628865979382
2007,-0.2454545454545456,-0.3114754098360656,0.07904411764705888,0.19080659150043378,0.35777496839443734,0.6251896813353566
2008,0.15662650602409633,-0.16666666666666674,0.2095400340715503,-0.0029133284777859147,-0.13687150837988837,0.6946778711484594
2009,0.17708333333333326,0.028571428571428692,0.07746478873239426,0.1541271000730462,0.2060409924487594,0.3856749311294765
2010,-0.10619469026548667,-0.2777777777777777,0.05620915032679741,-0.199367088607595,-0.1583184257602862,0.3471172962226641
2011,-0.06930693069306937,-0.03846153846153855,0.0024752475247524774,0.07984189723320156,0.004250797024442088,0.2520661157024793
2012,0.1276595744680853,0.28,-0.024691358024691357,0.2445095168374818,0.2941798941798943,0.22088637435172087
2013,0.15094339622641506,0.25,-0.012658227848101222,-0.05470588235294116,0.03270645952575646,0.20061787989959456
2014,0.09836065573770503,0.09999999999999987,0.0,-0.06098319850653389,-0.04433887569279493,0.18333869411386305
2015,0.24626865671641784,0.5909090909090908,-0.07692307692307687,0.013253810470510219,0.036454018227009,0.11769502582223423
2016,2.0179640718562877,2.0142857142857142,-0.09722222222222221,-0.022236756049705653,-0.051159072741806644,-0.5526507782101167
2017,0.34325396825396814,0.6113744075829384,0.0,0.1083612040133779,0.09856781802864356,-0.9249796140255504
2018,-0.22304283604135888,-0.39411764705882346,0.18461538461538463,-0.044055522027761085,-0.13573619631901834,15.945652173913043
2019,-0.07604562737642573,-0.24271844660194175,-0.10389610389610393,0.10669191919191934,0.2857142857142858,-0.6521274321146033
2020,-0.23868312757201648,-0.32692307692307687,0.04347826086956519,0.09070165430690236,0.13664596273291907,3.049170251997541
2021,-0.23783783783783796,-0.3047619047619048,0.04166666666666674,-0.030334728033472924,-0.07468123861566478,0.9770795385549484
2022,-0.2836879432624113,-0.4657534246575342,0.08000000000000007,-0.04854368932038833,-0.04396325459317585,-0.2644913627639155
2023,-0.2920792079207921,-0.20512820512820518,-0.024691358024691357,-0.05725623582766448,-0.02539464653397394,1.5950939457202504
2024,-0.10489510489510478,0.06451612903225823,-0.05063291139240511,0.02645820805772714,0.061267605633802846,0.06081814890792803
