BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
BOB,2005,PSB,3.9,0.87,78.41,13.65,9.04,827.0,66.22662105039522,53.235,3.9,3.9,0.87,0.87,78.41,78.41,13.65,13.65,9.04,9.04,827.0,827.0
BOB,2006,PSB,2.47,0.6,76.04,11.8,8.31,1026.0,70.42313200735587,29.146000000000004,3.9,3.185,0.87,0.735,78.41,77.225,13.65,12.725000000000001,9.04,8.675,827.0,926.5
BOB,2007,PSB,1.84,0.47,75.31,12.92,8.52,1436.0,65.9437620451854,23.7728,2.47,2.736666666666667,0.6,0.6466666666666666,76.04,76.58666666666666,11.8,12.790000000000001,8.31,8.623333333333333,1026.0,1096.3333333333333
BOB,2008,PSB,1.27,0.31,75.83,14.05,9.38,2227.0,66.76109066839382,17.843500000000002,1.84,1.86,0.47,0.45999999999999996,75.31,75.72666666666667,12.92,12.923333333333334,8.52,8.736666666666666,1436.0,1563.0
BOB,2009,PSB,1.36,0.34,75.14,14.36,9.48,3058.0,66.01625336870913,19.529600000000002,1.27,1.4900000000000002,0.31,0.37333333333333335,75.83,75.42666666666666,14.05,13.776666666666666,9.38,9.126666666666667,2227.0,2240.3333333333335
BOB,2010,PSB,1.36,0.35,74.9,14.52,9.97,4242.0,68.66343895703199,19.7472,1.36,1.33,0.34,0.3333333333333333,75.14,75.29,14.36,14.31,9.48,9.61,3058.0,3175.6666666666665
BOB,2011,PSB,1.53,0.54,65.5,14.67,10.84,5007.0,73.89179351197333,22.4451,1.36,1.4166666666666667,0.35,0.41,74.9,71.84666666666668,14.52,14.516666666666666,9.97,10.096666666666666,4242.0,4102.333333333333
BOB,2012,PSB,2.4,1.28,68.2,13.3,10.13,4481.0,76.16484086585815,31.92,1.53,1.7633333333333334,0.54,0.7233333333333333,65.5,69.53333333333335,14.67,14.163333333333334,10.84,10.313333333333334,5007.0,4576.666666666667
BOB,2013,PSB,3.11,1.52,68.9,12.28,9.28,4541.0,75.56941718715646,38.190799999999996,2.4,2.3466666666666662,1.28,1.1133333333333333,68.2,67.53333333333333,13.3,13.416666666666666,10.13,10.083333333333334,4481.0,4676.333333333333
BOB,2014,PSB,3.72,1.89,64.6,12.6,9.87,3398.0,78.33271164514566,46.872,3.11,3.0766666666666667,1.52,1.5633333333333332,68.9,67.23333333333333,12.28,12.726666666666667,9.28,9.76,4541.0,4140.0
BOB,2015,PSB,9.99,5.06,60.1,13.17,10.79,-5396.0,81.92800358387558,131.5683,3.72,5.6066666666666665,1.89,2.8233333333333337,64.6,64.53333333333333,12.6,12.683333333333332,9.87,9.979999999999999,3398.0,847.6666666666666
BOB,2016,PSB,10.46,4.72,66.83,12.24,9.93,1383.0,81.12678817983512,128.03040000000001,9.99,8.056666666666667,5.06,3.8900000000000006,60.1,63.843333333333334,13.17,12.67,10.79,10.196666666666665,-5396.0,-205.0
BOB,2017,PSB,12.26,5.49,67.21,12.13,10.46,-2432.0,86.23177055424111,148.71380000000002,10.46,10.903333333333334,4.72,5.09,66.83,64.71333333333332,12.24,12.513333333333334,9.93,10.393333333333333,1383.0,-2148.3333333333335
BOB,2018,PSB,9.63,3.33,78.68,13.42,11.55,433.0,86.06493245206818,129.2346,12.26,10.783333333333333,5.49,4.5133333333333345,67.21,70.90666666666668,12.13,12.596666666666666,10.46,10.646666666666667,-2432.0,-205.33333333333334
BOB,2019,PSB,9.4,3.13,81.33,13.3,10.71,546.0,80.52571033300502,125.02000000000001,9.63,10.43,3.33,3.983333333333334,78.68,75.74,13.42,12.950000000000001,11.55,10.906666666666666,433.0,-484.3333333333333
BOB,2020,PSB,8.87,3.09,81.8,14.99,12.67,829.0,84.52245148464652,132.9613,9.4,9.3,3.13,3.1833333333333336,81.33,80.60333333333334,13.3,13.903333333333334,10.71,11.643333333333333,546.0,602.6666666666666
BOB,2021,PSB,6.61,1.72,88.71,15.98,13.49,7272.0,84.417494258484,105.62780000000001,8.87,8.293333333333333,3.09,2.646666666666667,81.8,83.94666666666666,14.99,14.756666666666666,12.67,12.290000000000001,829.0,2882.3333333333335
BOB,2022,PSB,3.79,0.89,92.43,16.24,13.99,14110.0,86.1447897488316,61.5496,6.61,6.423333333333333,1.72,1.9000000000000004,88.71,87.64666666666666,15.98,15.736666666666666,13.49,13.383333333333333,7272.0,7403.666666666667
BOB,2023,PSB,2.92,0.68,93.3,16.31,14.05,17788.0,86.14294210335927,47.62519999999999,3.79,4.44,0.89,1.096666666666667,92.43,91.48,16.24,16.176666666666666,13.99,13.843333333333334,14110.0,13056.666666666666
BOB,2024,PSB,2.26,0.58,94.1,17.19,14.79,19581.0,86.03789390404941,38.849399999999996,2.92,2.9899999999999998,0.68,0.7166666666666669,93.3,93.27666666666666,16.31,16.58,14.05,14.276666666666666,17788.0,17159.666666666668
