Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,12.48742536454137,0,0
2006,14.569076327416898,0,0
2007,21.776130655692747,0,0
2008,33.357752911855265,0,0
2009,46.32192524769253,0,0
2010,61.77960210928184,0,0
2011,67.7612451161769,0,0
2012,58.83291936576139,0,0
2013,60.09044543327944,0,0
2014,43.37906712605818,0,0
2015,-65.86270503483003,0,0
2016,17.0473898200788,1,0
2017,-28.203062005634834,1,0
2018,5.031085049768255,0,0
2019,6.7804430530526885,0,0
2020,9.808044793193709,0,0
2021,86.14328081795534,0,0
2022,163.79400167260115,0,0
2023,206.4939896313611,0,0
2024,227.58576348058014,0,0
