BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
CITY UNION BANK,2005,PRIVATE,3.52,1.1,69.5,11.2,10.6,50.0,94.64201212489175,39.424,3.52,3.52,1.1,1.1,69.5,69.5,11.2,11.2,10.6,10.6,50.0,50.0
CITY UNION BANK,2006,PRIVATE,2.51,0.44,82.8,11.45,10.88,64.0,95.0210041833696,28.739499999999996,3.52,3.0149999999999997,1.1,0.77,69.5,76.15,11.2,11.325,10.6,10.74,50.0,57.0
CITY UNION BANK,2007,PRIVATE,1.84,0.48,74.5,13.52,12.95,101.0,95.78331521216559,24.8768,2.51,2.6233333333333335,0.44,0.6733333333333333,82.8,75.60000000000001,11.45,12.056666666666667,10.88,11.476666666666667,64.0,71.66666666666667
CITY UNION BANK,2008,PRIVATE,1.89,0.81,58.0,13.06,12.42,122.0,95.09881241338121,24.6834,1.84,2.0799999999999996,0.48,0.5766666666666667,74.5,71.76666666666667,13.52,12.676666666666668,12.95,12.083333333333334,101.0,95.66666666666667
CITY UNION BANK,2009,PRIVATE,1.54,0.49,69.1,12.96,12.35,153.0,95.29247459510341,19.9584,1.89,1.7566666666666666,0.81,0.5933333333333334,58.0,67.19999999999999,13.06,13.18,12.42,12.573333333333332,122.0,125.33333333333333
CITY UNION BANK,2010,PRIVATE,1.25,0.5,60.3,12.48,11.95,215.0,95.75243788110672,15.600000000000001,1.54,1.5599999999999998,0.49,0.6,69.1,62.46666666666666,12.96,12.833333333333334,12.35,12.24,153.0,163.33333333333334
CITY UNION BANK,2011,PRIVATE,1.21,0.44,64.1,12.58,12.08,280.0,96.0246738897147,15.2218,1.25,1.3333333333333333,0.5,0.4766666666666666,60.3,64.5,12.48,12.673333333333332,11.95,12.126666666666665,215.0,216.0
CITY UNION BANK,2012,PRIVATE,1.13,0.63,45.0,13.98,13.51,322.0,96.63736310899063,15.7974,1.21,1.1966666666666665,0.44,0.5233333333333333,64.1,56.46666666666666,12.58,13.013333333333334,12.08,12.513333333333334,280.0,272.3333333333333
CITY UNION BANK,2013,PRIVATE,1.81,1.23,33.0,15.01,14.61,347.0,97.33446146261517,27.1681,1.13,1.3833333333333335,0.63,0.7666666666666666,45.0,47.36666666666667,13.98,13.856666666666667,13.51,13.4,322.0,316.3333333333333
CITY UNION BANK,2014,PRIVATE,1.86,1.3,31.0,16.52,16.14,395.0,97.69916646993663,30.7272,1.81,1.5999999999999999,1.23,1.0533333333333335,33.0,36.333333333333336,15.01,15.170000000000002,14.61,14.753333333333336,347.0,354.6666666666667
CITY UNION BANK,2015,PRIVATE,2.52,1.53,40.0,15.58,15.1,442.0,96.91850501601402,39.2616,1.86,2.0633333333333335,1.3,1.3533333333333335,31.0,34.666666666666664,16.52,15.703333333333333,16.14,15.283333333333333,395.0,394.6666666666667
CITY UNION BANK,2016,PRIVATE,2.83,1.71,40.0,15.53,14.88,503.0,95.8139355187668,43.9499,2.52,2.4033333333333338,1.53,1.5133333333333334,40.0,37.0,15.58,15.876666666666667,15.1,15.373333333333335,442.0,446.6666666666667
CITY UNION BANK,2017,PRIVATE,3.03,1.7,44.0,16.22,15.79,592.0,97.3483517364258,49.14659999999999,2.83,2.7933333333333334,1.71,1.6466666666666665,40.0,41.333333333333336,15.53,15.776666666666666,14.88,15.256666666666666,503.0,512.3333333333334
CITY UNION BANK,2018,PRIVATE,2.95,1.81,39.0,15.55,15.03,683.0,96.65532697538922,45.8725,3.03,2.936666666666667,1.7,1.74,44.0,41.0,16.22,15.766666666666666,15.79,15.233333333333333,592.0,592.6666666666666
CITY UNION BANK,2019,PRIVATE,3.91,2.29,42.0,16.76,15.8,476.0,94.27151389311518,65.53160000000001,2.95,3.296666666666667,1.81,1.9333333333333333,39.0,41.666666666666664,15.55,16.176666666666666,15.03,15.54,683.0,583.6666666666666
CITY UNION BANK,2020,PRIVATE,5.11,2.97,43.0,19.52,18.45,593.0,94.5179584120983,99.7472,3.91,3.99,2.29,2.356666666666667,42.0,41.333333333333336,16.76,17.276666666666667,15.8,16.426666666666666,476.0,584.0
CITY UNION BANK,2021,PRIVATE,4.7,2.95,38.0,20.85,19.78,760.0,94.86765051486563,97.995,5.11,4.573333333333333,2.97,2.736666666666667,43.0,41.0,19.52,19.043333333333337,18.45,18.01,593.0,609.6666666666666
CITY UNION BANK,2022,PRIVATE,4.37,2.36,47.0,22.34,21.27,937.0,95.20995877368499,97.6258,4.7,4.726666666666667,2.95,2.7600000000000002,38.0,42.666666666666664,20.85,20.903333333333332,19.78,19.833333333333332,760.0,763.3333333333334
CITY UNION BANK,2023,PRIVATE,3.99,1.97,51.0,23.73,22.69,1016.0,95.61695905200568,94.68270000000001,4.37,4.3533333333333335,2.36,2.4266666666666663,47.0,45.333333333333336,22.34,22.30666666666667,21.27,21.246666666666666,937.0,904.3333333333334
CITY UNION BANK,2024,PRIVATE,3.09,1.25,60.0,23.75,22.7,1124.0,95.57854493244238,73.3875,3.99,3.8166666666666664,1.97,1.86,51.0,52.666666666666664,23.73,23.273333333333337,22.69,22.22,1016.0,1025.6666666666667
