Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,0.5283065981914276,0,0
2006,0.673535287029369,0,0
2007,1.0544633866745556,0,0
2008,1.2828761539818916,0,0
2009,1.6055832220173938,0,0
2010,2.245373616717584,0,0
2011,2.915917188176714,0,0
2012,3.3320445251056143,0,0
2013,3.565027136542496,0,0
2014,4.043023192818372,0,0
2015,4.560532535726124,0,0
2016,5.249758211337856,0,0
2017,6.081253389082623,0,0
2018,7.066346101209323,0,0
2019,5.049245262895029,0,0
2020,6.273939933621716,0,0
2021,8.011160684007331,0,0
2022,9.841407371952034,0,0
2023,10.62572999023815,0,0
2024,11.75996128665187,0,0
