BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
FEDERAL BANK,2005,PRIVATE,5.37,0.88,84.1,11.51,9.77,225.0,84.88197322351674,61.8087,5.37,5.37,0.88,0.88,84.1,84.1,11.51,11.51,9.77,9.77,225.0,225.0
FEDERAL BANK,2006,PRIVATE,3.65,0.35,90.6,11.96,10.36,293.0,86.62134931982173,43.654,5.37,4.51,0.88,0.615,84.1,87.35,11.51,11.735,9.77,10.065,225.0,259.0
FEDERAL BANK,2007,PRIVATE,2.55,0.47,82.2,18.29,16.57,368.0,90.59545874544153,46.63949999999999,3.65,3.856666666666667,0.35,0.5666666666666667,90.6,85.63333333333333,11.96,13.92,10.36,12.233333333333334,293.0,295.3333333333333
FEDERAL BANK,2008,PRIVATE,2.53,0.5,80.8,20.37,18.73,501.0,91.94849313454523,51.5361,2.55,2.91,0.47,0.43999999999999995,82.2,84.53333333333333,18.29,16.873333333333335,16.57,15.219999999999999,368.0,387.3333333333333
FEDERAL BANK,2009,PRIVATE,2.95,0.56,81.6,17.15,16.09,465.0,93.81869493472342,50.5925,2.53,2.6766666666666663,0.5,0.51,80.8,81.53333333333333,20.37,18.603333333333335,18.73,17.13,501.0,444.6666666666667
FEDERAL BANK,2010,PRIVATE,3.48,0.6,83.2,15.65,14.77,587.0,94.37639376106223,54.462,2.95,2.986666666666667,0.56,0.5533333333333333,81.6,81.86666666666666,17.15,17.723333333333333,16.09,16.53,465.0,517.6666666666666
FEDERAL BANK,2011,PRIVATE,3.42,0.53,84.8,15.6,14.65,777.0,93.90965442529215,53.352,3.48,3.283333333333333,0.6,0.5633333333333334,83.2,83.2,15.65,16.13333333333333,14.77,15.17,587.0,609.6666666666666
FEDERAL BANK,2012,PRIVATE,3.44,0.98,72.3,14.73,13.79,838.0,93.61783015729695,50.6712,3.42,3.4466666666666668,0.53,0.7033333333333333,84.8,80.10000000000001,15.6,15.326666666666668,14.65,14.403333333333334,777.0,734.0
FEDERAL BANK,2013,PRIVATE,2.46,0.74,70.4,15.14,14.12,839.0,93.26226378953903,37.2444,3.44,3.106666666666667,0.98,0.75,72.3,75.83333333333333,14.73,15.156666666666666,13.79,14.186666666666667,838.0,818.0
FEDERAL BANK,2014,PRIVATE,2.04,0.73,64.9,15.46,14.54,1006.0,94.04855078557058,31.538400000000003,2.46,2.6466666666666665,0.74,0.8166666666666668,70.4,69.2,15.14,15.11,14.12,14.15,839.0,894.3333333333334
FEDERAL BANK,2015,PRIVATE,2.84,1.64,72.0,13.93,13.06,476.0,93.75381368403673,39.5612,2.04,2.4466666666666668,0.73,1.0366666666666666,64.9,69.10000000000001,15.46,14.843333333333334,14.54,13.906666666666666,1006.0,773.6666666666666
FEDERAL BANK,2016,PRIVATE,2.33,1.28,71.3,12.39,11.66,831.0,94.10739219215341,28.8687,2.84,2.4033333333333333,1.64,1.2166666666666666,72.0,69.4,13.93,13.926666666666668,13.06,13.086666666666666,476.0,771.0
FEDERAL BANK,2017,PRIVATE,3.0,1.69,66.8,14.7,14.07,879.0,95.71363460112516,44.099999999999994,2.33,2.723333333333333,1.28,1.5366666666666664,71.3,70.03333333333335,12.39,13.673333333333332,11.66,12.93,831.0,728.6666666666666
FEDERAL BANK,2018,PRIVATE,2.92,1.48,67.5,14.14,13.31,1244.0,94.12946160211031,41.2888,3.0,2.75,1.69,1.4833333333333334,66.8,68.53333333333335,14.7,13.743333333333334,14.07,13.013333333333334,879.0,984.6666666666666
FEDERAL BANK,2019,PRIVATE,2.84,1.31,68.2,14.35,13.29,1543.0,92.61259503418094,40.754,2.92,2.92,1.48,1.4933333333333332,67.5,67.5,14.14,14.396666666666667,13.31,13.556666666666667,1244.0,1222.0
FEDERAL BANK,2020,PRIVATE,3.41,1.19,65.1,14.62,13.85,1590.0,94.73259416830254,49.8542,2.84,3.0566666666666666,1.31,1.3266666666666669,68.2,66.93333333333332,14.35,14.37,13.29,13.483333333333334,1543.0,1459.0
FEDERAL BANK,2021,PRIVATE,2.8,0.96,66.0,15.77,14.43,1890.0,91.502273289326,44.156,3.41,3.016666666666667,1.19,1.1533333333333333,65.1,66.43333333333334,14.62,14.913333333333332,13.85,13.856666666666667,1590.0,1674.3333333333333
FEDERAL BANK,2022,PRIVATE,2.36,0.69,70.02,14.81,13.04,3011.0,88.04802128277323,34.9516,2.8,2.856666666666667,0.96,0.9466666666666667,66.0,67.04,15.77,15.066666666666665,14.43,13.773333333333333,1890.0,2163.6666666666665
FEDERAL BANK,2023,PRIVATE,2.13,0.6,71.08,16.1,14.81,3721.0,91.98700629188639,34.293,2.36,2.4299999999999997,0.69,0.75,70.02,69.03333333333333,14.81,15.56,13.04,14.093333333333334,3011.0,2874.0
FEDERAL BANK,2024,PRIVATE,1.84,0.44,75.37,16.4,15.07,4052.0,91.88968359949025,30.176,2.13,2.11,0.6,0.5766666666666667,71.08,72.15666666666667,16.1,15.770000000000001,14.81,14.306666666666667,3721.0,3594.6666666666665
