Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,2.6507394774715696,0,0
2006,3.3825378953132326,0,0
2007,4.0620137149700435,0,0
2008,5.448702610255944,0,0
2009,4.95636818831435,0,0
2010,6.219775628070338,0,0
2011,8.27390960472777,0,0
2012,8.951286198801059,0,0
2013,8.99613581005496,0,0
2014,10.696602774848317,0,0
2015,5.077126745233627,0,0
2016,8.830337041673449,0,0
2017,9.183644466950609,0,0
2018,13.215840881387445,0,0
2019,16.66080064779221,0,0
2020,16.784085743404326,0,0
2021,20.655224306489984,0,0
2022,34.197247387680484,0,0
2023,40.451364921491546,0,0
2024,44.096353335643926,0,0
