BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
HDFC,2005,PRIVATE,1.4,0.44,68.6,11.41,9.0,871.0,78.87748573632132,15.973999999999998,1.4,1.4,0.44,0.44,68.6,68.6,11.41,11.41,9.0,9.0,871.0,871.0
HDFC,2006,PRIVATE,1.3,0.43,66.9,13.08,8.6,1141.0,65.74873280785314,17.004,1.4,1.35,0.44,0.435,68.6,67.75,11.41,12.245000000000001,9.0,8.8,871.0,1006.0
HDFC,2007,PRIVATE,1.3,0.47,63.8,13.6,10.3,1590.0,75.73473724457908,17.68,1.3,1.3333333333333333,0.43,0.4466666666666666,66.9,66.43333333333334,13.08,12.696666666666667,8.6,9.299999999999999,1141.0,1200.6666666666667
HDFC,2008,PRIVATE,1.98,0.63,68.2,15.09,10.58,2245.0,70.11219276214206,29.8782,1.3,1.5266666666666666,0.47,0.51,63.8,66.3,13.6,13.923333333333332,10.3,9.826666666666666,1590.0,1658.6666666666667
HDFC,2009,PRIVATE,1.43,0.31,78.4,17.44,13.3,3003.0,76.26103061335658,24.9392,1.98,1.57,0.63,0.47000000000000003,68.2,70.13333333333334,15.09,15.376666666666667,10.58,11.393333333333336,2245.0,2279.3333333333335
HDFC,2010,PRIVATE,1.05,0.19,82.5,16.22,12.2,3926.0,75.21531926436953,17.031,1.43,1.4866666666666666,0.31,0.37666666666666665,78.4,76.36666666666667,17.44,16.25,13.3,12.026666666666666,3003.0,3058.0
HDFC,2011,PRIVATE,1.02,0.18,82.4,16.52,11.6,5167.0,70.2174926301899,16.8504,1.05,1.1666666666666667,0.19,0.22666666666666666,82.5,81.10000000000001,16.22,16.726666666666663,12.2,12.366666666666667,3926.0,4032.0
HDFC,2012,PRIVATE,0.97,0.2,79.7,16.8,11.1,6726.0,66.0710352914566,16.296,1.02,1.0133333333333334,0.18,0.19000000000000003,82.4,81.53333333333335,16.52,16.513333333333332,11.6,11.633333333333333,5167.0,5273.0
HDFC,2013,PRIVATE,0.98,0.27,73.0,16.07,11.8,8478.0,73.42829229438523,15.7486,0.97,0.9899999999999999,0.2,0.21666666666666667,79.7,78.36666666666667,16.8,16.463333333333335,11.1,11.5,6726.0,6790.333333333333
HDFC,2014,PRIVATE,0.93,0.25,73.6,16.79,13.7,10216.0,81.59570222928988,15.614700000000001,0.98,0.96,0.27,0.24,73.0,75.43333333333334,16.07,16.553333333333335,11.8,12.199999999999998,8478.0,8473.333333333334
HDFC,2015,PRIVATE,0.94,0.28,70.0,15.53,13.2,12296.0,84.99623312148665,14.598199999999999,0.93,0.9500000000000001,0.25,0.26666666666666666,73.6,72.2,16.79,16.13,13.7,12.9,10216.0,10330.0
HDFC,2016,PRIVATE,1.05,0.33,69.0,14.55,12.8,14550.0,87.97190397316857,15.277500000000002,0.94,0.9733333333333333,0.28,0.2866666666666667,70.0,70.86666666666667,15.53,15.623333333333333,13.2,13.233333333333334,12296.0,12354.0
HDFC,2017,PRIVATE,1.3,0.4,69.8,14.82,13.25,17487.0,89.40560455057658,19.266000000000002,1.05,1.0966666666666667,0.33,0.3366666666666667,69.0,69.6,14.55,14.966666666666667,12.8,13.083333333333334,14550.0,14777.666666666666
HDFC,2018,PRIVATE,1.36,0.39,71.4,17.11,15.8,21078.0,92.34311897651095,23.2696,1.3,1.2366666666666666,0.4,0.37333333333333335,69.8,70.06666666666668,14.82,15.493333333333332,13.25,13.950000000000001,17487.0,17705.0
HDFC,2019,PRIVATE,1.26,0.36,72.0,18.52,17.2,26257.0,92.87206872533085,23.3352,1.36,1.3066666666666666,0.39,0.3833333333333333,71.4,71.06666666666666,17.11,16.816666666666666,15.8,15.416666666666666,21078.0,21607.333333333332
HDFC,2020,PRIVATE,1.32,0.4,70.0,18.79,17.6,31116.0,93.66634557559567,24.8028,1.26,1.3133333333333335,0.36,0.3833333333333333,72.0,71.13333333333334,18.52,18.14,17.2,16.866666666666667,26257.0,26150.333333333332
HDFC,2021,PRIVATE,1.17,0.32,73.0,18.9,17.9,36961.0,94.70849360585395,22.112999999999996,1.32,1.25,0.4,0.36000000000000004,70.0,71.66666666666667,18.79,18.736666666666665,17.6,17.566666666666666,31116.0,31444.666666666668
HDFC,2022,PRIVATE,1.12,0.27,76.0,19.26,17.1,44109.0,88.78458574981438,21.571200000000005,1.17,1.2033333333333334,0.32,0.33,73.0,73.0,18.9,18.983333333333334,17.9,17.533333333333335,36961.0,37395.333333333336
HDFC,2023,PRIVATE,1.24,0.33,74.0,18.8,16.8,60812.0,89.3612268019851,23.312,1.12,1.1766666666666667,0.27,0.3066666666666667,76.0,74.33333333333333,19.26,18.986666666666665,17.1,17.266666666666666,44109.0,47294.0
HDFC,2024,PRIVATE,1.33,0.43,68.0,19.6,17.5,73440.0,89.28525874867985,26.068000000000005,1.24,1.2300000000000002,0.33,0.3433333333333333,74.0,72.66666666666667,18.8,19.220000000000002,16.8,17.133333333333336,60812.0,59453.666666666664
