Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,11.042441082227382,0,0
2006,17.353946363963544,0,0
2007,20.994328849004884,0,0
2008,32.02010776636425,0,0
2009,39.377909483643094,0,0
2010,52.196812912592186,0,0
2011,73.58565127961869,0,0
2012,101.79952332410616,0,0
2013,115.4595813089432,0,0
2014,125.20267116630265,0,0
2015,144.6652328434352,0,0
2016,165.39371296367574,0,0
2017,195.5917628689136,0,0
2018,228.25739486993237,0,0
2019,282.72224445578826,0,0
2020,332.2004234988186,0,0
2021,390.26066409163934,0,0
2022,496.809205456962,0,0
2023,680.5188502417724,0,0
2024,822.5321873590211,0,0
