Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,36.857884247764744,0,0
2006,49.130014088736786,0,0
2007,56.39580098266507,0,0
2008,52.578481967072904,0,0
2009,56.20550461082412,0,0
2010,76.42449021006668,0,0
2011,94.42621825805757,0,0
2012,121.88385173115971,0,0
2013,135.86696290699624,0,0
2014,148.82598980200842,0,0
2015,123.63759399744696,0,0
2016,118.69106409188755,0,0
2017,78.4126986530341,0,0
2018,37.64175325661168,0,0
2019,86.79972941688021,0,0
2020,171.43509192809742,0,0
2021,243.69349821842405,0,0
2022,332.3726269910527,0,0
2023,428.0161037246501,0,0
2024,490.3460254609312,0,0
