BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
INDIAN BANK,2005,PSB,3.2,0.44,86.8,14.15,13.06,504.0,92.29616751825074,45.28,3.2,3.2,0.44,0.44,86.8,86.8,14.15,14.15,13.06,13.06,504.0,504.0
INDIAN BANK,2006,PSB,2.14,0.31,85.9,14.14,12.82,760.0,90.66413957468477,30.259600000000002,3.2,2.67,0.44,0.375,86.8,86.35,14.15,14.145,13.06,12.940000000000001,504.0,632.0
INDIAN BANK,2007,PSB,1.48,0.24,84.1,14.22,12.98,1009.0,91.27924557492564,21.0456,2.14,2.2733333333333334,0.31,0.33,85.9,85.60000000000001,14.14,14.170000000000002,12.82,12.953333333333333,760.0,757.6666666666666
INDIAN BANK,2008,PSB,0.9,0.18,80.4,14.03,11.23,1245.0,80.04219499504637,12.626999999999999,1.48,1.5066666666666668,0.24,0.24333333333333332,84.1,83.46666666666665,14.22,14.13,12.98,12.343333333333334,1009.0,1004.6666666666666
INDIAN BANK,2009,PSB,0.85,0.23,73.1,12.71,11.05,1555.0,86.93873376291295,10.8035,0.9,1.0766666666666667,0.18,0.21666666666666667,80.4,79.2,14.03,13.653333333333334,11.23,11.753333333333332,1245.0,1269.6666666666667
INDIAN BANK,2010,PSB,0.98,0.53,46.2,13.56,11.02,1714.0,81.26783725783733,13.2888,0.85,0.91,0.23,0.31333333333333335,73.1,66.56666666666666,12.71,13.433333333333332,11.05,11.100000000000001,1555.0,1504.6666666666667
INDIAN BANK,2011,PSB,2.03,1.33,35.1,13.47,10.98,1747.0,81.51387146346352,27.344099999999997,0.98,1.2866666666666666,0.53,0.6966666666666667,46.2,51.46666666666667,13.56,13.246666666666668,11.02,11.016666666666666,1714.0,1672.0
INDIAN BANK,2012,PSB,3.33,2.26,32.9,13.08,10.59,1581.0,80.96268377153079,43.556400000000004,2.03,2.1133333333333333,1.33,1.373333333333333,35.1,38.06666666666667,13.47,13.37,10.98,10.863333333333335,1747.0,1680.6666666666667
INDIAN BANK,2013,PSB,3.67,2.26,39.4,12.64,10.18,1159.0,80.5373375210639,46.3888,3.33,3.01,2.26,1.95,32.9,35.800000000000004,13.08,13.063333333333333,10.59,10.583333333333334,1581.0,1495.6666666666667
INDIAN BANK,2014,PSB,4.4,2.5,44.5,12.86,10.46,1002.0,81.33684808049705,56.584,3.67,3.8000000000000003,2.26,2.34,39.4,38.93333333333334,12.64,12.86,10.18,10.410000000000002,1159.0,1247.3333333333333
INDIAN BANK,2015,PSB,6.66,4.2,49.3,12.9,10.87,711.0,84.2629126905993,85.914,4.4,4.91,2.5,2.9866666666666664,44.5,44.4,12.86,12.799999999999999,10.46,10.503333333333332,1002.0,957.3333333333334
INDIAN BANK,2016,PSB,7.47,4.39,52.5,13.62,11.75,1406.0,86.26955749223575,101.74139999999998,6.66,6.176666666666667,4.2,3.6966666666666668,49.3,48.76666666666666,12.9,13.126666666666665,10.87,11.026666666666666,711.0,1039.6666666666667
INDIAN BANK,2017,PSB,7.37,3.81,63.9,12.55,11.01,1259.0,87.72838463438538,92.49350000000001,7.47,7.166666666666667,4.39,4.133333333333333,52.5,55.23333333333333,13.62,13.023333333333333,11.75,11.209999999999999,1406.0,1125.3333333333333
INDIAN BANK,2018,PSB,7.11,3.75,66.0,13.21,10.92,322.0,82.66402222541844,93.9231,7.37,7.316666666666666,3.81,3.983333333333333,63.9,60.800000000000004,12.55,13.126666666666667,11.01,11.226666666666667,1259.0,995.6666666666666
INDIAN BANK,2019,PSB,11.39,3.19,73.9,14.12,10.67,753.0,75.56603706772616,160.8268,7.11,8.623333333333333,3.75,3.5833333333333335,66.0,67.93333333333334,13.21,13.293333333333335,10.92,10.866666666666667,322.0,778.0
INDIAN BANK,2020,PSB,9.85,3.37,82.1,15.71,11.95,3005.0,76.06571568608729,154.7435,11.39,9.450000000000001,3.19,3.436666666666666,73.9,74.0,14.12,14.346666666666666,10.67,11.18,753.0,1360.0
INDIAN BANK,2021,PSB,8.47,2.27,87.4,16.53,13.17,3945.0,79.67283924477165,140.00910000000002,9.85,9.903333333333334,3.37,2.943333333333333,82.1,81.13333333333334,15.71,15.453333333333333,11.95,11.93,3005.0,2567.6666666666665
INDIAN BANK,2022,PSB,5.95,0.9,94.0,16.49,13.22,5282.0,80.16931370943779,98.1155,8.47,8.09,2.27,2.1799999999999997,87.4,87.83333333333333,16.53,16.243333333333336,13.17,12.78,3945.0,4077.3333333333335
INDIAN BANK,2023,PSB,3.95,0.43,96.6,16.44,14.13,8063.0,85.94838230911003,64.938,5.95,6.123333333333334,0.9,1.1999999999999997,94.0,92.66666666666667,16.49,16.486666666666668,13.22,13.506666666666668,5282.0,5763.333333333333
INDIAN BANK,2024,PSB,3.09,0.19,98.2,17.94,15.36,10995.0,85.6182518492093,55.4346,3.95,4.33,0.43,0.5066666666666664,96.6,96.26666666666667,16.44,16.956666666666667,14.13,14.236666666666666,8063.0,8113.333333333333
