Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,5.460681717251768,0,0
2006,8.382586491005764,0,0
2007,11.053991327281308,0,0
2008,15.554295887597215,0,0
2009,17.886158617796507,0,0
2010,21.090754186939442,0,0
2011,21.431934800828504,0,0
2012,19.52751448968665,0,0
2013,14.390840587522925,0,0
2014,12.319139619096207,0,0
2015,8.437875796826642,0,0
2016,16.297753513211035,0,0
2017,14.351113278739414,0,0
2018,3.8952858503139964,0,0
2019,9.964793963726441,1,0
2020,39.50531370658375,0,0
2021,49.51499140585592,0,0
2022,65.885557574539,0,0
2023,93.81211943221471,0,0
2024,128.4188783829118,0,0
