BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
PNB,2005,2005-2006,4.01,0.28,93.3,11.55,8.35,1439.0,72.29374637449025,46.3155,4.01,4.01,0.28,0.28,93.3,93.3,11.55,11.55,8.35,8.35,1439.0,1439.0
PNB,2006,2006-2007,3.44,0.76,78.7,12.33,8.3,1540.0,67.31494472875322,42.4152,4.01,3.7249999999999996,0.28,0.52,93.3,86.0,11.55,11.940000000000001,8.35,8.325,1439.0,1489.5
PNB,2007,2007-2008,2.76,0.64,77.4,13.51,8.92,2049.0,66.02467783362077,37.2876,3.44,3.403333333333333,0.76,0.56,78.7,83.13333333333334,12.33,12.463333333333333,8.3,8.523333333333333,1540.0,1676.0
PNB,2008,2008-2009,1.6,0.17,89.6,14.03,10.05,3091.0,71.63170611756155,22.448,2.76,2.6,0.64,0.5233333333333333,77.4,81.9,13.51,13.29,8.92,9.09,2049.0,2226.6666666666665
PNB,2009,2009-2010,1.71,0.53,69.8,14.16,10.03,3905.0,70.83283310146115,24.2136,1.6,2.023333333333333,0.17,0.4466666666666667,89.6,78.93333333333334,14.03,13.9,10.05,9.666666666666666,3091.0,3015.0
PNB,2010,2010-2011,1.79,0.85,53.0,12.42,8.44,4433.0,67.95436429658376,22.2318,1.71,1.7,0.53,0.5166666666666667,69.8,70.8,14.16,13.536666666666667,10.03,9.506666666666666,3905.0,3809.6666666666665
PNB,2011,2011-2012,2.93,1.52,49.3,12.73,9.28,4884.0,72.89809192386548,37.2989,1.79,2.143333333333333,0.85,0.9666666666666668,53.0,57.36666666666667,12.42,13.103333333333333,8.44,9.25,4433.0,4407.333333333333
PNB,2012,2012-2013,4.27,2.35,46.5,12.72,9.28,4748.0,72.95540129401498,54.3144,2.93,2.996666666666666,1.52,1.5733333333333333,49.3,49.6,12.73,12.623333333333335,9.28,8.999999999999998,4884.0,4688.333333333333
PNB,2013,2013-2014,5.25,2.85,47.4,12.11,9.0,3343.0,74.31813114672876,63.5775,4.27,4.1499999999999995,2.35,2.24,46.5,47.73333333333333,12.72,12.520000000000001,9.28,9.186666666666666,4748.0,4325.0
PNB,2014,2014-2015,6.55,4.06,40.0,12.89,9.68,3062.0,75.09639180456318,84.4295,5.25,5.3566666666666665,2.85,3.086666666666666,47.4,44.63333333333333,12.11,12.573333333333332,9.0,9.32,3343.0,3717.6666666666665
PNB,2015,2015-2016,12.9,8.61,51.0,11.28,8.67,-3974.0,76.86102073563178,145.512,6.55,8.233333333333333,4.06,5.173333333333333,40.0,46.13333333333333,12.89,12.093333333333334,9.68,9.116666666666667,3062.0,810.3333333333334
PNB,2016,2016-2017,12.53,7.81,55.9,11.66,9.17,1325.0,78.64426548657387,146.0998,12.9,10.659999999999998,8.61,6.826666666666665,51.0,48.96666666666666,11.28,11.943333333333333,8.67,9.173333333333334,-3974.0,137.66666666666666
PNB,2017,2017-2018,18.38,11.24,58.4,9.2,7.21,-12283.0,78.36871338355017,169.09599999999998,12.53,14.603333333333333,7.81,9.219999999999999,55.9,55.099999999999994,11.66,10.713333333333333,9.17,8.35,1325.0,-4977.333333333333
PNB,2018,2018-2019,15.5,6.56,74.5,9.73,7.49,-9975.0,76.97762612922786,150.815,18.38,15.469999999999999,11.24,8.536666666666665,58.4,62.93333333333333,9.2,10.196666666666667,7.21,7.956666666666667,-12283.0,-6977.666666666667
PNB,2019,2019-2020,14.21,5.78,77.8,14.14,11.9,363.0,84.15782066604905,200.92940000000002,15.5,16.03,6.56,7.859999999999999,74.5,70.23333333333333,9.73,11.023333333333333,7.49,8.866666666666667,-9975.0,-7298.333333333333
PNB,2020,2020-2021,14.12,5.73,80.14,14.32,11.5,2022.0,80.3067017688424,202.1984,14.21,14.610000000000001,5.78,6.023333333333333,77.8,77.48,14.14,12.729999999999999,11.9,10.296666666666667,363.0,-2530.0
PNB,2021,2021-2022,11.78,4.8,81.6,14.5,11.73,3457.0,80.89599382073227,170.81,14.12,13.37,5.73,5.436666666666667,80.14,79.84666666666666,14.32,14.32,11.5,11.71,2022.0,1947.3333333333333
PNB,2022,2022-2023,8.74,2.72,86.9,15.5,12.69,2507.0,81.87043954555132,135.47,11.78,11.546666666666667,4.8,4.416666666666667,81.6,82.88000000000001,14.5,14.773333333333333,11.73,11.973333333333334,3457.0,2662.0
PNB,2023,2023-2024,5.73,0.73,95.39,15.97,13.08,9107.0,81.90305633652888,91.50810000000001,8.74,8.750000000000002,2.72,2.75,86.9,87.96333333333332,15.5,15.323333333333332,12.69,12.5,2507.0,5023.666666666667
PNB,2024,2024-2025,3.95,0.4,96.82,17.01,14.05,10757.0,82.59798590249322,67.18950000000001,5.73,6.1400000000000015,0.73,1.2833333333333334,95.39,93.03666666666668,15.97,16.16,13.08,13.273333333333333,9107.0,7457.0
