Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,19.90490259891783,0,0
2006,22.877534599900855,0,0
2007,31.03385031471926,0,0
2008,43.151282084162375,0,0
2009,55.129800318401315,0,0
2010,65.23495555660584,0,0
2011,66.9976374430101,0,0
2012,65.08085557345369,0,0
2013,44.98229306139993,0,0
2014,40.774262060346786,0,0
2015,-51.70371028463319,1,0
2016,16.848017779226204,1,0
2017,-156.73346304859427,1,1
2018,-129.5831057932489,1,1
2019,4.313324570595932,1,1
2020,25.178471164731977,1,1
2021,42.733883273959435,1,0
2022,30.621552581058214,0,0
2023,111.19243037021849,0,0
2024,130.23319820976533,0,0
