Year,RAROC_Proxy,Stress_Flag_2Sig,Stress_Flag_3Sig
2005,55.935470123377165,0,0
2006,69.95804399089981,0,0
2007,100.30098069833205,0,0
2008,143.12899232762777,0,0
2009,133.24380905444795,0,0
2010,127.4331080737949,0,0
2011,165.74074402739197,0,0
2012,192.031620673269,0,0
2013,139.38799111728338,0,0
2014,163.77636274444507,0,0
2015,131.61100138432508,0,0
2016,132.79834459806804,0,0
2017,-79.6263066570469,1,0
2018,10.2955174357183,0,0
2019,171.70120377274512,0,0
2020,245.1358720557768,0,0
2021,383.60966925975475,0,0
2022,611.4517199202551,0,0
2023,731.0860496731082,0,0
2024,821.4197791826715,0,0
