BANK,Year,Anomaly_Score
AXIS BANK,2005,0.1047851700719577
AXIS BANK,2006,0.12125233704328381
AXIS BANK,2007,0.17235926003989127
AXIS BANK,2008,0.1823303671533621
AXIS BANK,2009,0.1924752700949739
AXIS BANK,2010,0.15702233034819546
AXIS BANK,2011,0.1685412348335335
AXIS BANK,2012,0.17546115915110672
AXIS BANK,2013,0.19259624133939368
AXIS BANK,2014,0.1967862506129105
AXIS BANK,2015,0.19497374848644372
AXIS BANK,2016,0.17626637735928719
AXIS BANK,2017,0.11402804294307489
AXIS BANK,2018,0.16635189101055864
AXIS BANK,2019,0.15082768457809453
AXIS BANK,2020,0.12728329919403736
AXIS BANK,2021,0.1459054829567143
AXIS BANK,2022,0.16481749416273145
AXIS BANK,2023,0.13807261933532672
AXIS BANK,2024,0.13751151436088488
BOB,2005,0.17699836817687292
BOB,2006,0.15330510801434133
BOB,2007,0.17416317312882673
BOB,2008,0.18517437239231221
BOB,2009,0.18953277885952236
BOB,2010,0.19397438629045838
BOB,2011,0.18905298444932045
BOB,2012,0.18287556390285614
BOB,2013,0.17551630352339032
BOB,2014,0.17769098058012595
BOB,2015,0.07103167497884955
BOB,2016,0.10251367108638565
BOB,2017,0.06297545459309617
BOB,2018,0.12857645430971065
BOB,2019,0.12868560538299817
BOB,2020,0.11966840658244515
BOB,2021,0.11510099674282692
BOB,2022,0.13603039085369317
BOB,2023,0.13538133971382266
BOB,2024,0.11099609230237434
CITY UNION BANK,2005,0.14112076859073658
CITY UNION BANK,2006,0.14313837808154867
CITY UNION BANK,2007,0.1972605093385722
CITY UNION BANK,2008,0.17628999500992026
CITY UNION BANK,2009,0.1877944758239405
CITY UNION BANK,2010,0.169086758860238
CITY UNION BANK,2011,0.17839592161001233
CITY UNION BANK,2012,0.13271072929996636
CITY UNION BANK,2013,0.1135676456436861
CITY UNION BANK,2014,0.07745077194252992
CITY UNION BANK,2015,0.1343727238809746
CITY UNION BANK,2016,0.13966329926047233
CITY UNION BANK,2017,0.1332553664115239
CITY UNION BANK,2018,0.12678437804186382
CITY UNION BANK,2019,0.11019581074886425
CITY UNION BANK,2020,0.05568496774414888
CITY UNION BANK,2021,-0.0003495941400810665
CITY UNION BANK,2022,1.83996915832374e-05
CITY UNION BANK,2023,-0.029764282715960655
CITY UNION BANK,2024,-0.05355575301751714
FEDERAL BANK,2005,0.11840577641032834
FEDERAL BANK,2006,0.12862571624645003
FEDERAL BANK,2007,0.13477318683532552
FEDERAL BANK,2008,0.07650401606521773
FEDERAL BANK,2009,0.15874167347225754
FEDERAL BANK,2010,0.17137246714234028
FEDERAL BANK,2011,0.16401620380167603
FEDERAL BANK,2012,0.19122215473448206
FEDERAL BANK,2013,0.1852636013223618
FEDERAL BANK,2014,0.1822331488779998
FEDERAL BANK,2015,0.1878432173270801
FEDERAL BANK,2016,0.18062531949047478
FEDERAL BANK,2017,0.1847193553697551
FEDERAL BANK,2018,0.1961207486429138
FEDERAL BANK,2019,0.20022380133292933
FEDERAL BANK,2020,0.19053715222140583
FEDERAL BANK,2021,0.1876030638829217
FEDERAL BANK,2022,0.19996208150990324
FEDERAL BANK,2023,0.1885096270690927
FEDERAL BANK,2024,0.18537166098406566
HDFC,2005,0.155777149977611
HDFC,2006,0.17072400950082095
HDFC,2007,0.18872241060765993
HDFC,2008,0.1919993611407692
HDFC,2009,0.1775677078649211
HDFC,2010,0.17034502598802315
HDFC,2011,0.1636507953112345
HDFC,2012,0.1560857253648495
HDFC,2013,0.1682637264762905
HDFC,2014,0.15970176990123913
HDFC,2015,0.16842362194723992
HDFC,2016,0.17141360080911566
HDFC,2017,0.16720129032397774
HDFC,2018,0.14204918390965598
HDFC,2019,0.10520999603781456
HDFC,2020,0.08735378166663943
HDFC,2021,0.07372790180934463
HDFC,2022,0.06914303103646591
HDFC,2023,0.041893912849790826
