BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
AXIS BANK,2005,PRIVATE,1.68,1.05,45.4,11.08,8.87,485.0,80.0534291206758,18.6144,1.68,1.68,1.05,1.05,45.4,45.4,11.08,11.08,8.87,8.87,485.0,485.0
AXIS BANK,2006,PRIVATE,1.1,0.61,54.4,11.53,7.91,659.0,68.60304767521531,12.683,1.68,1.3900000000000001,1.05,0.8300000000000001,45.4,49.9,11.08,11.305,8.87,8.39,485.0,572.0
AXIS BANK,2007,PRIVATE,0.83,0.42,58.7,13.73,10.74,1071.0,78.2222999104158,11.3959,1.1,1.2033333333333334,0.61,0.6933333333333334,54.4,52.833333333333336,11.53,12.113333333333335,7.91,9.173333333333334,659.0,738.3333333333334
AXIS BANK,2008,PRIVATE,0.96,0.35,71.0,13.69,9.27,1815.0,67.71316498783793,13.142399999999999,0.83,0.9633333333333334,0.42,0.45999999999999996,58.7,61.36666666666667,13.73,12.983333333333334,10.74,9.306666666666667,1071.0,1181.6666666666667
AXIS BANK,2009,PRIVATE,1.13,0.36,76.5,15.8,11.18,2515.0,70.75904582882387,17.854,0.96,0.9733333333333333,0.35,0.37666666666666665,71.0,68.73333333333333,13.69,14.406666666666666,9.27,10.396666666666667,1815.0,1800.3333333333333
AXIS BANK,2010,PRIVATE,1.01,0.26,80.8,12.65,9.41,3388.0,74.38676374099809,12.7765,1.13,1.0333333333333332,0.36,0.3233333333333333,76.5,76.10000000000001,15.8,14.046666666666667,11.18,9.953333333333333,2515.0,2572.6666666666665
AXIS BANK,2011,PRIVATE,0.94,0.25,81.0,13.66,9.45,4242.0,69.17958140862804,12.840399999999999,1.01,1.0266666666666666,0.26,0.29,80.8,79.43333333333334,12.65,14.036666666666667,9.41,10.013333333333334,3388.0,3381.6666666666665
AXIS BANK,2012,PRIVATE,1.06,0.32,79.0,17.0,12.23,5179.0,71.94075328968653,18.02,0.94,1.0033333333333332,0.25,0.27666666666666667,81.0,80.26666666666667,13.66,14.436666666666667,9.45,10.363333333333333,4242.0,4269.666666666667
AXIS BANK,2013,PRIVATE,1.22,0.4,78.0,16.07,12.63,6218.0,78.59316370153266,19.6054,1.06,1.0733333333333333,0.32,0.32333333333333336,79.0,79.33333333333333,17.0,15.576666666666668,12.23,11.436666666666667,5179.0,5213.0
AXIS BANK,2014,PRIVATE,1.34,0.44,78.0,15.09,12.07,7358.0,79.98621612845508,20.2206,1.22,1.2066666666666668,0.4,0.38666666666666666,78.0,78.33333333333333,16.07,16.053333333333335,12.63,12.31,6218.0,6251.666666666667
AXIS BANK,2015,PRIVATE,1.67,0.7,72.0,15.29,12.51,8224.0,81.81764671257874,25.534299999999998,1.34,1.4100000000000001,0.44,0.5133333333333333,78.0,76.0,15.09,15.483333333333334,12.07,12.403333333333334,7358.0,7266.666666666667
AXIS BANK,2016,PRIVATE,5.04,2.11,65.0,14.95,11.87,3679.0,79.39746222433294,75.348,1.67,2.6833333333333336,0.7,1.0833333333333333,72.0,71.66666666666667,15.29,15.11,12.51,12.149999999999999,8224.0,6420.333333333333
AXIS BANK,2017,PRIVATE,6.77,3.4,65.0,16.57,13.04,276.0,78.69596441783693,112.1789,5.04,4.493333333333333,2.11,2.07,65.0,67.33333333333333,14.95,15.603333333333333,11.87,12.473333333333331,3679.0,4059.6666666666665
AXIS BANK,2018,PRIVATE,5.26,2.06,77.0,15.84,11.27,4677.0,71.14854072890954,83.3184,6.77,5.69,3.4,2.5233333333333334,65.0,69.0,16.57,15.786666666666667,13.04,12.06,276.0,2877.3333333333335
AXIS BANK,2019,PRIVATE,4.86,1.56,69.0,17.53,14.49,1627.0,82.65782853491993,85.1958,5.26,5.63,2.06,2.3400000000000003,77.0,70.33333333333333,15.84,16.646666666666665,11.27,12.933333333333332,4677.0,2193.3333333333335
AXIS BANK,2020,PRIVATE,3.7,1.05,72.0,19.12,16.47,6588.0,86.13971684248513,70.74400000000001,4.86,4.6066666666666665,1.56,1.5566666666666666,69.0,72.66666666666667,17.53,17.49666666666667,14.49,14.076666666666668,1627.0,4297.333333333333
AXIS BANK,2021,PRIVATE,2.82,0.73,75.0,18.54,15.24,13025.0,82.20020388239547,52.282799999999995,3.7,3.793333333333333,1.05,1.1133333333333333,72.0,72.0,19.12,18.396666666666665,16.47,15.399999999999999,6588.0,7080.0
AXIS BANK,2022,PRIVATE,2.02,0.39,81.0,17.64,14.57,9580.0,82.59590365133984,35.6328,2.82,2.8466666666666662,0.73,0.7233333333333333,75.0,76.0,18.54,18.433333333333334,15.24,15.426666666666668,13025.0,9731.0
AXIS BANK,2023,PRIVATE,1.43,0.31,79.0,16.63,14.2,24861.0,85.38733982357292,23.7809,2.02,2.0899999999999994,0.39,0.4766666666666666,81.0,78.33333333333333,17.64,17.60333333333333,14.57,14.67,9580.0,15822.0
AXIS BANK,2024,PRIVATE,1.28,0.33,75.0,17.07,15.07,26373.0,88.28302118909673,21.849600000000002,1.43,1.5766666666666662,0.31,0.3433333333333333,79.0,78.33333333333333,16.63,17.113333333333333,14.2,14.613333333333332,24861.0,20271.333333333332
BOB,2005,PSB,3.9,0.87,78.41,13.65,9.04,827.0,66.22662105039522,53.235,3.9,3.9,0.87,0.87,78.41,78.41,13.65,13.65,9.04,9.04,827.0,827.0
BOB,2006,PSB,2.47,0.6,76.04,11.8,8.31,1026.0,70.42313200735587,29.146000000000004,3.9,3.185,0.87,0.735,78.41,77.225,13.65,12.725000000000001,9.04,8.675,827.0,926.5
BOB,2007,PSB,1.84,0.47,75.31,12.92,8.52,1436.0,65.9437620451854,23.7728,2.47,2.736666666666667,0.6,0.6466666666666666,76.04,76.58666666666666,11.8,12.790000000000001,8.31,8.623333333333333,1026.0,1096.3333333333333
BOB,2008,PSB,1.27,0.31,75.83,14.05,9.38,2227.0,66.76109066839382,17.843500000000002,1.84,1.86,0.47,0.45999999999999996,75.31,75.72666666666667,12.92,12.923333333333334,8.52,8.736666666666666,1436.0,1563.0
BOB,2009,PSB,1.36,0.34,75.14,14.36,9.48,3058.0,66.01625336870913,19.529600000000002,1.27,1.4900000000000002,0.31,0.37333333333333335,75.83,75.42666666666666,14.05,13.776666666666666,9.38,9.126666666666667,2227.0,2240.3333333333335
BOB,2010,PSB,1.36,0.35,74.9,14.52,9.97,4242.0,68.66343895703199,19.7472,1.36,1.33,0.34,0.3333333333333333,75.14,75.29,14.36,14.31,9.48,9.61,3058.0,3175.6666666666665
BOB,2011,PSB,1.53,0.54,65.5,14.67,10.84,5007.0,73.89179351197333,22.4451,1.36,1.4166666666666667,0.35,0.41,74.9,71.84666666666668,14.52,14.516666666666666,9.97,10.096666666666666,4242.0,4102.333333333333
BOB,2012,PSB,2.4,1.28,68.2,13.3,10.13,4481.0,76.16484086585815,31.92,1.53,1.7633333333333334,0.54,0.7233333333333333,65.5,69.53333333333335,14.67,14.163333333333334,10.84,10.313333333333334,5007.0,4576.666666666667
BOB,2013,PSB,3.11,1.52,68.9,12.28,9.28,4541.0,75.56941718715646,38.190799999999996,2.4,2.3466666666666662,1.28,1.1133333333333333,68.2,67.53333333333333,13.3,13.416666666666666,10.13,10.083333333333334,4481.0,4676.333333333333
BOB,2014,PSB,3.72,1.89,64.6,12.6,9.87,3398.0,78.33271164514566,46.872,3.11,3.0766666666666667,1.52,1.5633333333333332,68.9,67.23333333333333,12.28,12.726666666666667,9.28,9.76,4541.0,4140.0
BOB,2015,PSB,9.99,5.06,60.1,13.17,10.79,-5396.0,81.92800358387558,131.5683,3.72,5.6066666666666665,1.89,2.8233333333333337,64.6,64.53333333333333,12.6,12.683333333333332,9.87,9.979999999999999,3398.0,847.6666666666666
BOB,2016,PSB,10.46,4.72,66.83,12.24,9.93,1383.0,81.12678817983512,128.03040000000001,9.99,8.056666666666667,5.06,3.8900000000000006,60.1,63.843333333333334,13.17,12.67,10.79,10.196666666666665,-5396.0,-205.0
BOB,2017,PSB,12.26,5.49,67.21,12.13,10.46,-2432.0,86.23177055424111,148.71380000000002,10.46,10.903333333333334,4.72,5.09,66.83,64.71333333333332,12.24,12.513333333333334,9.93,10.393333333333333,1383.0,-2148.3333333333335
BOB,2018,PSB,9.63,3.33,78.68,13.42,11.55,433.0,86.06493245206818,129.2346,12.26,10.783333333333333,5.49,4.5133333333333345,67.21,70.90666666666668,12.13,12.596666666666666,10.46,10.646666666666667,-2432.0,-205.33333333333334
BOB,2019,PSB,9.4,3.13,81.33,13.3,10.71,546.0,80.52571033300502,125.02000000000001,9.63,10.43,3.33,3.983333333333334,78.68,75.74,13.42,12.950000000000001,11.55,10.906666666666666,433.0,-484.3333333333333
BOB,2020,PSB,8.87,3.09,81.8,14.99,12.67,829.0,84.52245148464652,132.9613,9.4,9.3,3.13,3.1833333333333336,81.33,80.60333333333334,13.3,13.903333333333334,10.71,11.643333333333333,546.0,602.6666666666666
BOB,2021,PSB,6.61,1.72,88.71,15.98,13.49,7272.0,84.417494258484,105.62780000000001,8.87,8.293333333333333,3.09,2.646666666666667,81.8,83.94666666666666,14.99,14.756666666666666,12.67,12.290000000000001,829.0,2882.3333333333335
BOB,2022,PSB,3.79,0.89,92.43,16.24,13.99,14110.0,86.1447897488316,61.5496,6.61,6.423333333333333,1.72,1.9000000000000004,88.71,87.64666666666666,15.98,15.736666666666666,13.49,13.383333333333333,7272.0,7403.666666666667
BOB,2023,PSB,2.92,0.68,93.3,16.31,14.05,17788.0,86.14294210335927,47.62519999999999,3.79,4.44,0.89,1.096666666666667,92.43,91.48,16.24,16.176666666666666,13.99,13.843333333333334,14110.0,13056.666666666666
BOB,2024,PSB,2.26,0.58,94.1,17.19,14.79,19581.0,86.03789390404941,38.849399999999996,2.92,2.9899999999999998,0.68,0.7166666666666669,93.3,93.27666666666666,16.31,16.58,14.05,14.276666666666666,17788.0,17159.666666666668
CITY UNION BANK,2005,PRIVATE,3.52,1.1,69.5,11.2,10.6,50.0,94.64201212489175,39.424,3.52,3.52,1.1,1.1,69.5,69.5,11.2,11.2,10.6,10.6,50.0,50.0
CITY UNION BANK,2006,PRIVATE,2.51,0.44,82.8,11.45,10.88,64.0,95.0210041833696,28.739499999999996,3.52,3.0149999999999997,1.1,0.77,69.5,76.15,11.2,11.325,10.6,10.74,50.0,57.0
