BANK,Year,GMM_Cluster,HDBSCAN_Cluster
AXIS BANK,2005,2,17
AXIS BANK,2006,2,-1
AXIS BANK,2007,2,13
AXIS BANK,2008,2,-1
AXIS BANK,2009,2,-1
AXIS BANK,2010,2,3
AXIS BANK,2011,2,-1
AXIS BANK,2012,2,4
AXIS BANK,2013,2,6
AXIS BANK,2014,2,5
AXIS BANK,2015,2,5
AXIS BANK,2016,2,3
AXIS BANK,2017,0,16
AXIS BANK,2018,2,7
AXIS BANK,2019,0,11
AXIS BANK,2020,0,6
AXIS BANK,2021,2,-1
AXIS BANK,2022,2,10
AXIS BANK,2023,1,-1
AXIS BANK,2024,1,-1
BOB,2005,2,14
BOB,2006,2,13
BOB,2007,2,12
BOB,2008,2,-1
BOB,2009,2,2
BOB,2010,2,7
BOB,2011,2,4
BOB,2012,2,7
BOB,2013,2,7
BOB,2014,2,3
BOB,2015,0,-1
BOB,2016,0,12
BOB,2017,0,-1
BOB,2018,0,17
BOB,2019,0,17
BOB,2020,0,14
BOB,2021,0,6
BOB,2022,2,1
BOB,2023,2,-1
BOB,2024,2,-1
CITY UNION BANK,2005,0,-1
CITY UNION BANK,2006,1,-1
CITY UNION BANK,2007,1,-1
CITY UNION BANK,2008,0,-1
CITY UNION BANK,2009,1,-1
CITY UNION BANK,2010,0,-1
CITY UNION BANK,2011,0,16
CITY UNION BANK,2012,0,16
CITY UNION BANK,2013,0,16
CITY UNION BANK,2014,0,16
CITY UNION BANK,2015,0,17
CITY UNION BANK,2016,0,17
CITY UNION BANK,2017,0,-1
CITY UNION BANK,2018,0,-1
CITY UNION BANK,2019,0,17
CITY UNION BANK,2020,0,-1
CITY UNION BANK,2021,0,15
CITY UNION BANK,2022,0,-1
CITY UNION BANK,2023,0,13
CITY UNION BANK,2024,0,13
FEDERAL BANK,2005,0,-1
FEDERAL BANK,2006,0,16
FEDERAL BANK,2007,1,16
FEDERAL BANK,2008,1,17
FEDERAL BANK,2009,1,17
FEDERAL BANK,2010,0,17
FEDERAL BANK,2011,0,15
FEDERAL BANK,2012,0,14
FEDERAL BANK,2013,0,14
FEDERAL BANK,2014,0,13
FEDERAL BANK,2015,0,17
FEDERAL BANK,2016,0,14
FEDERAL BANK,2017,0,14
FEDERAL BANK,2018,0,12
FEDERAL BANK,2019,0,11
FEDERAL BANK,2020,0,11
FEDERAL BANK,2021,0,-1
FEDERAL BANK,2022,1,2
FEDERAL BANK,2023,1,-1
FEDERAL BANK,2024,1,8
HDFC,2005,2,14
HDFC,2006,2,13
HDFC,2007,2,11
HDFC,2008,2,-1
HDFC,2009,2,2
HDFC,2010,2,8
HDFC,2011,2,4
HDFC,2012,2,6
HDFC,2013,2,5
HDFC,2014,2,10
HDFC,2015,2,-1
HDFC,2016,1,1
HDFC,2017,1,-1
HDFC,2018,1,-1
HDFC,2019,1,-1
HDFC,2020,1,-1
HDFC,2021,1,-1
HDFC,2022,1,0
HDFC,2023,1,-1
HDFC,2024,1,-1
ICICI,2005,2,-1
ICICI,2006,2,2
ICICI,2007,2,8
ICICI,2008,2,8
ICICI,2009,2,8
ICICI,2010,2,4
ICICI,2011,2,6
ICICI,2012,2,5
ICICI,2013,2,10
ICICI,2014,2,-1
ICICI,2015,2,10
ICICI,2016,0,10
ICICI,2017,0,6
ICICI,2018,0,3
ICICI,2019,0,5
ICICI,2020,1,-1
ICICI,2021,1,-1
ICICI,2022,1,-1
ICICI,2023,1,0
ICICI,2024,1,0
INDIAN BANK,2005,0,17
INDIAN BANK,2006,1,15
INDIAN BANK,2007,0,13
INDIAN BANK,2008,2,12
INDIAN BANK,2009,1,11
INDIAN BANK,2010,2,-1
INDIAN BANK,2011,2,-1
INDIAN BANK,2012,2,11
INDIAN BANK,2013,2,12
INDIAN BANK,2014,2,13
INDIAN BANK,2015,0,-1
INDIAN BANK,2016,0,12
INDIAN BANK,2017,0,12
INDIAN BANK,2018,0,16
INDIAN BANK,2019,0,15
INDIAN BANK,2020,0,2
INDIAN BANK,2021,0,8
INDIAN BANK,2022,0,4
INDIAN BANK,2023,0,5
INDIAN BANK,2024,2,9
PNB,2005,0,12
PNB,2006,2,11
PNB,2007,2,-1
PNB,2008,2,2
PNB,2009,2,8
PNB,2010,2,7
PNB,2011,2,4
PNB,2012,2,-1
PNB,2013,2,3
PNB,2014,0,2
PNB,2015,0,-1
PNB,2016,0,12
PNB,2017,0,-1
PNB,2018,0,-1
PNB,2019,0,16
PNB,2020,0,-1
PNB,2021,0,3
PNB,2022,0,-1
PNB,2023,0,-1
PNB,2024,0,9
SBI,2005,2,7
SBI,2006,2,7
SBI,2007,2,6
SBI,2008,2,-1
SBI,2009,2,-1
SBI,2010,2,5
SBI,2011,2,-1
SBI,2012,2,1
SBI,2013,2,9
SBI,2014,2,-1
SBI,2015,0,10
SBI,2016,0,9
SBI,2017,0,-1
SBI,2018,0,14
SBI,2019,2,1
SBI,2020,2,-1
SBI,2021,1,-1
SBI,2022,1,-1
SBI,2023,1,-1
SBI,2024,1,-1
