,Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr)
Ownership,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,PRIVATE,PSB
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,4.01,,,,,,,,,,,,,,,,,,,,2.852,3.5700000000000003,0.28,,,,,,,,,,,,,,,,,,,,0.8380000000000001,1.0633333333333332,93.3,,,,,,,,,,,,,,,,,,,,67.34,71.04333333333334,11.55,,,,,,,,,,,,,,,,,,,,11.709999999999999,13.226666666666667,8.35,,,,,,,,,,,,,,,,,,,,9.488,10.486666666666666,1439.0,,,,,,,,,,,,,,,,,,,,834.2,1912.6666666666667
2006,,3.44,,,,,,,,,,,,,,,,,,,2.116,2.5100000000000002,,0.76,,,,,,,,,,,,,,,,,,,0.5700000000000001,0.8233333333333333,,78.7,,,,,,,,,,,,,,,,,,,68.96000000000001,69.50666666666667,,12.33,,,,,,,,,,,,,,,,,,,11.942,12.76,,8.3,,,,,,,,,,,,,,,,,,,9.03,9.713333333333333,,1540.0,,,,,,,,,,,,,,,,,,,1053.4,2109.0
2007,,,2.76,,,,,,,,,,,,,,,,,,1.964,2.12,,,0.64,,,,,,,,,,,,,,,,,,0.6779999999999999,0.8300000000000001,,,77.4,,,,,,,,,,,,,,,,,,66.62,66.95333333333333,,,13.51,,,,,,,,,,,,,,,,,,14.622,13.26,,,8.92,,,,,,,,,,,,,,,,,,12.172,9.993333333333334,,,2049.0,,,,,,,,,,,,,,,,,,1457.6,3058.0
2008,,,,1.6,,,,,,,,,,,,,,,,,2.336,1.6766666666666665,,,,0.17,,,,,,,,,,,,,,,,,0.85,0.7600000000000001,,,,89.6,,,,,,,,,,,,,,,,,66.76,64.54666666666667,,,,14.03,,,,,,,,,,,,,,,,,15.547999999999998,14.083333333333334,,,,10.05,,,,,,,,,,,,,,,,,12.42,9.88,,,,3091.0,,,,,,,,,,,,,,,,,1688.2,4197.666666666667
2009,,,,,1.71,,,,,,,,,,,,,,,,2.4219999999999997,1.7533333333333332,,,,,0.53,,,,,,,,,,,,,,,,0.718,0.7633333333333333,,,,,69.8,,,,,,,,,,,,,,,,74.06,63.949999999999996,,,,,14.16,,,,,,,,,,,,,,,,16.552,13.520000000000001,,,,,10.03,,,,,,,,,,,,,,,,13.363999999999999,9.936666666666667,,,,,3905.0,,,,,,,,,,,,,,,,2032.2,4593.0
2010,,,,,,1.79,,,,,,,,,,,,,,,2.252,1.8733333333333333,,,,,,0.85,,,,,,,,,,,,,,,0.49800000000000005,0.8366666666666666,,,,,,53.0,,,,,,,,,,,,,,,76.56,57.13333333333333,,,,,,12.42,,,,,,,,,,,,,,,15.307999999999998,13.353333333333333,,,,,,8.44,,,,,,,,,,,,,,,12.3,9.586666666666666,,,,,,4433.0,,,,,,,,,,,,,,,2653.4,4740.333333333333
2011,,,,,,,2.93,,,,,,,,,,,,,,2.0420000000000003,2.6666666666666665,,,,,,,1.52,,,,,,,,,,,,,,0.426,1.2300000000000002,,,,,,,49.3,,,,,,,,,,,,,,78.53999999999999,54.78,,,,,,,12.73,,,,,,,,,,,,,,15.376,14.0,,,,,,,9.28,,,,,,,,,,,,,,12.092,10.536666666666667,,,,,,,4884.0,,,,,,,,,,,,,,3386.2,6153.666666666667
2012,,,,,,,,4.27,,,,,,,,,,,,,1.964,3.6766666666666663,,,,,,,,2.35,,,,,,,,,,,,,0.5800000000000001,1.8800000000000001,,,,,,,,46.5,,,,,,,,,,,,,70.56,53.826666666666675,,,,,,,,12.72,,,,,,,,,,,,,16.25,13.1,,,,,,,,9.28,,,,,,,,,,,,,12.686,10.07,,,,,,,,4748.0,,,,,,,,,,,,,4278.0,6722.333333333333
