BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
SBI,2005-2006,PSB,3.61%,1.88%,47.92%,11.88%,9.36%,4407
SBI,2006-2007,PSB,2.92%,1.56%,46.58%,12.34%,8.01%,4541
SBI,2007-2008,PSB,3.04%,1.78%,41.45%,12.64%,8.48%,6729
SBI,2008-2009,PSB,2.86%,1.79%,37.41%,14.17%,9.03%,9121
SBI,2009-2010,PSB,3.05%,1.72%,43.61%,13.49%,9.28%,9166
SBI,2010-2011,PSB,3.28%,1.63%,50.30%,11.98%,7.77%,8265
SBI,2011-2012,PSB,4.44%,1.82%,63.74%,13.86%,9.79%,11707
SBI,2012-2013,PSB,5.30%,2.10%,60.38%,12.92%,9.49%,14105
SBI,2013-2014,PSB,4.95%,2.57%,48.08%,12.44%,9.72%,10891
SBI,2014-2015,PSB,4.25%,2.12%,69.13%,12.00%,9.60%,13102
SBI,2015-2016,PSB,6.50%,3.81%,60.69%,13.12%,9.92%,9951
SBI,2016-2017,PSB,6.90%,3.71%,65.95%,13.11%,10.35%,10484
SBI,2017-2018,PSB,10.91%,5.73%,66.17%,12.60%,10.36%,-6547
SBI,2018-2019,PSB,7.53%,3.01%,78.73%,12.72%,10.65%,862
SBI,2019-2020,PSB,6.15%,2.23%,83.62%,13.06%,11.02%,14488
SBI,2020-2021,PSB,4.98%,1.50%,87.75%,13.74%,11.44%,20410
SBI,2021-2022,PSB,3.97%,1.02%,75.00%,13.83%,11.42%,31676
SBI,2022-2023,PSB,2.78%,0.67%,76.40%,14.68%,12.06%,50232
SBI,2023-2024,PSB,2.24%,0.57%,75.02%,14.28%,11.93%,61077
SBI,2024-2025,PSB,1.82%,0.47%,74.18%,14.25%,12.30%,70901
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
ICICI,2005-2006,Private,2.29,0.72,69.1,13.35,9.20%,2540
ICICI,2006-2007,Private,2.02,1.02,50.1,11.69,7.40%,3110
ICICI,2007-2008,Private,3.3,1.55,53.9,13.97,10.30%,4158
ICICI,2008-2009,Private,4.32,1.96,55.8,15.53,11.10%,3758
ICICI,2009-2010,Private,5.06,1.87,64.7,19.41,13.90%,4025
ICICI,2010-2011,Private,4.47,0.94,76,19.54,13.17%,5151
ICICI,2011-2012,Private,3.62,0.73,80.4,18.52,12.68%,6465
ICICI,2012-2013,Private,3.22,0.77,76.8,18.74,12.80%,8325
ICICI,2013-2014,Private,3.03,0.97,68.6,17.7,12.78%,9810
ICICI,2014-2015,Private,3.78,1.61,58.6,17.02,12.78%,11175
ICICI,2015-2016,Private,5.82,2.98,50.6,16.64,13.09%,9726
ICICI,2016-2017,Private,8.74,5.43,40.2,17.39,14.36%,9801
ICICI,2017-2018,Private,9.9,5.43,47.7,18.42,15.92%,6777
ICICI,2018-2019,Private,7.38,2.29,70.6,16.89,15.09%,3363
ICICI,2019-2020,Private,6.04,1.54,75.7,16.11,14.72%,7931
ICICI,2020-2021,Private,5.34,1.24,77.7,19.12,18.06%,16193
ICICI,2021-2022,Private,3.76,0.81,79.2,19.16,18.35%,23339
ICICI,2022-2023,Private,2.81,0.48,82.8,18.34,17.60%,31896
ICICI,2023-2024,Private,2.16,0.42,80.3,16.33,15.60%,40888
ICICI,2024-2025,Private,1.67,0.39,76.2,16.55,15.94%,47227
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
PNB,2005-2006,2005-2006,4.01,0.28,93.3,11.55,8.35,1439
PNB,2006-2007,2006-2007,3.44,0.76,78.7,12.33,8.3,1540
PNB,2007-2008,2007-2008,2.76,0.64,77.4,13.51,8.92,2049
PNB,2008-2009,2008-2009,1.6,0.17,89.6,14.03,10.05,3091
PNB,2009-2010,2009-2010,1.71,0.53,69.8,14.16,10.03,3905
PNB,2010-2011,2010-2011,1.79,0.85,53,12.42,8.44,4433
PNB,2011-2012,2011-2012,2.93,1.52,49.3,12.73,9.28,4884
PNB,2012-2013,2012-2013,4.27,2.35,46.5,12.72,9.28,4748
PNB,2013-2014,2013-2014,5.25,2.85,47.4,12.11,9,3343
PNB,2014-2015,2014-2015,6.55,4.06,40,12.89,9.68,3062
PNB,2015-2016,2015-2016,12.9,8.61,51,11.28,8.67,-3974
PNB,2016-2017,2016-2017,12.53,7.81,55.9,11.66,9.17,1325
PNB,2017-2018,2017-2018,18.38,11.24,58.4,9.2,7.21,-12283
PNB,2018-2019,2018-2019,15.5,6.56,74.5,9.73,7.49,-9975
PNB,2019-2020,2019-2020,14.21,5.78,77.8,14.14,11.9,363
PNB,2020-2021,2020-2021,14.12,5.73,80.14,14.32,11.5,2022
PNB,2021-2022,2021-2022,11.78,4.8,81.6,14.5,11.73,3457
PNB,2022-2023,2022-2023,8.74,2.72,86.9,15.5,12.69,2507
PNB,2023-2024,2023-2024,5.73,0.73,95.39,15.97,13.08,9107
PNB,2024-2025,2024-2025,3.95,0.4,96.82,17.01,14.05,10757
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
Indian Bank,2005-06,PSB,3.2,0.44,86.8,14.15,13.06,504
Indian Bank,2006-07,PSB,2.14,0.31,85.9,14.14,12.82,760
Indian Bank,2007-08,PSB,1.48,0.24,84.1,14.22,12.98,1009
Indian Bank,2008-09,PSB,0.9,0.18,80.4,14.03,11.23,1245
Indian Bank,2009-10,PSB,0.85,0.23,73.1,12.71,11.05,1555
Indian Bank,2010-11,PSB,0.98,0.53,46.2,13.56,11.02,1714
Indian Bank,2011-12,PSB,2.03,1.33,35.1,13.47,10.98,1747
Indian Bank,2012-13,PSB,3.33,2.26,32.9,13.08,10.59,1581
Indian Bank,2013-14,PSB,3.67,2.26,39.4,12.64,10.18,1159
Indian Bank,2014-15,PSB,4.4,2.5,44.5,12.86,10.46,1002
Indian Bank,2015-16,PSB,6.66,4.2,49.3,12.9,10.87,711
Indian Bank,2016-17,PSB,7.47,4.39,52.5,13.62,11.75,1406
Indian Bank,2017-18,PSB,7.37,3.81,63.9,12.55,11.01,1259
Indian Bank,2018-19,PSB,7.11,3.75,66,13.21,10.92,322
Indian Bank ,2019-20*,PSB,11.39,3.19,73.9,14.12,10.67,753
Indian Bank,2020-21,PSB,9.85,3.37,82.1,15.71,11.95,3005
Indian Bank,2021-22,PSB,8.47,2.27,87.4,16.53,13.17,3945
Indian Bank,2022-23,PSB,5.95,0.9,94,16.49,13.22,5282
Indian Bank,2023-24,PSB,3.95,0.43,96.6,16.44,14.13,8063
Indian Bank,2024-25,PSB,3.09,0.19,98.2,17.94,15.36,10995
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
City union Bank,2005-06,Private,3.52,1.1,69.5,11.2,10.6,50
City union Bank,2006-07,Private,2.51,0.44,82.8,11.45,10.88,64
City union Bank,2007-08,Private,1.84,0.48,74.5,13.52,12.95,101
City union Bank,2008-09,Private,1.89,0.81,58,13.06,12.42,122
City union Bank,2009-10,Private,1.54,0.49,69.1,12.96,12.35,153
